StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q32,Q31,Q92,Q37,Q93,Q94,Q33,Q46,Q39,Q34_Browser,Q34_Version,Q34_Operating System,Q34_Resolution,allSliderData,Create New Field or Choose From Dropdown...,loopCounter,Condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,What is your goal in this study?,What day are you predicting for?,What number do all of the trend lines start at?,Which one of the two stores has more variation (and uncertainty) in sales?,Are all of the possible trends straight lines?,How likely is each trend?,"(Optional) If there is anything you'd like to tell us about this survey, please do:",(Optional) What do you think this research project is studying?,Please enter your Prolific ID here:,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,allSliderData,Create New Field or Choose From Dropdown...,loopCounter,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID199""}","{""ImportId"":""QID198""}","{""ImportId"":""QID174""}","{""ImportId"":""QID204""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID200_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID201_BROWSER""}","{""ImportId"":""QID201_VERSION""}","{""ImportId"":""QID201_OS""}","{""ImportId"":""QID201_RESOLUTION""}","{""ImportId"":""allSliderData""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""loopCounter""}","{""ImportId"":""Condition""}"
9/14/2023 12:05,9/14/2023 12:11,0,100,315,5.25,9/14/2023 12:11,R_2UhcoKjlThByS5V,anonymous,EN,0.800000012,1,1,1,1,1,1,,,646e6386480358ab421927bc,Chrome,117.0.0.0,Windows NT 10.0,1536x730,'-2~fn~-2fn.jpeg~76~1.9599999999999997~-1~fn~-1fn.jpeg~78~17.139599999999998~0~fn~0fn.jpeg~104~7.952399999999999~1~fn~1fn.jpeg~88~6.400899999999999~2~fn~2fn.jpeg~112~9.2416~3~fn~3fn.jpeg~122~7.4529~4~fn~4cl.jpeg~113~9.3636~5~fn~5cl.jpeg~82~9.610000000000001~6~fn~6cl.jpeg~124~9.610000000000001~7~fn~7cl.jpeg~93~10.112400000000001~8~fn~8cl.jpeg~110~25~,,9,fn
9/14/2023 12:06,9/14/2023 12:12,0,100,394,6.566666667,9/14/2023 12:12,R_3HqtLumS63XFsqF,anonymous,EN,0.899999976,1,1,3,1,1,1,,,5eeb90010654c30cc96a77e7,Firefox,117,Windows NT 10.0,1536x864,'-2~fn~-2fn.jpeg~78~1.8769000000000002~-1~fn~-1fn.jpeg~77~17.556100000000004~0~fn~0fn.jpeg~106~8.2369~1~fn~1fn.jpeg~89~7.6729~2~fn~2fn.jpeg~113~12.180100000000001~3~fn~3fn.jpeg~122~11.628100000000002~4~fn~4cl.jpeg~114~6.400899999999999~5~fn~5cl.jpeg~85~11.2225~6~fn~6cl.jpeg~120~17.556100000000004~7~fn~7cl.jpeg~84~18.4041~8~fn~8cl.jpeg~110~25~,,9,fn
9/14/2023 12:05,9/14/2023 12:12,0,100,421,7.016666667,9/14/2023 12:12,R_aVNKOfqsX70x5U5,anonymous,EN,1,1,1,1,1,2,1,,,5fbcf7f7ab1d320008701750,Chrome,115.0.0.0,Windows NT 10.0,1280x720,'-2~fl~-2fl.jpeg~79~1.8769000000000002~-1~fl~-1fl.jpeg~79~17.305600000000002~0~fl~0fl.jpeg~106~8.2944~1~fl~1fl.jpeg~74~7.1289~2~fl~2fl.jpeg~107~11.356900000000001~3~fl~3fl.jpeg~101~8.2369~4~fl~4cn.jpeg~107~8.8804~5~fl~5cn.jpeg~85~13.249600000000001~6~fl~6cn.jpeg~127~14.5924~7~fl~7cn.jpeg~109~25~8~fl~8cn.jpeg~95~13.249600000000001~,,9,fl
9/14/2023 12:04,9/14/2023 12:16,0,100,684,11.4,9/14/2023 12:16,R_32YeqYxJGHyv7PD,anonymous,EN,1,1,1,1,1,1,1,Everything went fine.,What kind of information people require to make accurate predictions.,6099df8e57bf74dbc121c774,Firefox,117,Windows NT 10.0,1536x864,'-2~cn~-2cn.jpeg~79~1.8225000000000002~-1~cn~-1cn.jpeg~79~17.892900000000004~0~cn~0cn.jpeg~108~7.6729~1~cn~1cn.jpeg~86~12.320099999999998~2~cn~2cn.jpeg~116~12.0409~3~cn~3cn.jpeg~123~4.2848999999999995~4~cn~4fl.jpeg~118~13.7641~5~cn~5fl.jpeg~65~10.956100000000001~6~cn~6fl.jpeg~137~19.624899999999997~7~cn~7fl.jpeg~76~25~8~cn~8fl.jpeg~118~18.232899999999997~,,9,cn
9/14/2023 12:05,9/14/2023 12:16,0,100,607,10.11666667,9/14/2023 12:16,R_xhBAn7iPq3Xxwfn,anonymous,EN,1,1,1,1,1,1,1,,,64899c13bb0e5c784cec5da1,Chrome,116.0.0.0,Windows NT 10.0,1366x768,'-2~cn~-2cn.jpeg~81~0.81~-1~cn~-1cn.jpeg~84~12.320099999999998~0~cn~0cn.jpeg~100~0.6400000000000001~1~cn~1cn.jpeg~96~1.9320999999999997~2~cn~2cn.jpeg~104~6.25~3~cn~3cn.jpeg~98~4.536899999999999~4~cn~4fl.jpeg~117~5.6644~5~cn~5fl.jpeg~72~8.6436~6~cn~6fl.jpeg~135~11.4921~7~cn~7fl.jpeg~97~18.49~8~cn~8fl.jpeg~111~6.5024999999999995~,,9,cn
9/14/2023 12:06,9/14/2023 12:20,0,100,840,14,9/14/2023 12:20,R_2YaZDvs49Mq3Abo,anonymous,EN,0.899999976,2,1,1,1,1,1,,,60f334c96401d90c4831d66f,Chrome,116.0.0.0,Windows NT 10.0,1536x864,'-2~cn~-2cn.jpeg~78~0.7224999999999999~-1~cn~-1cn.jpeg~83~11.0889~0~cn~0cn.jpeg~103~2.3104~1~cn~1cn.jpeg~95~5.3824~2~cn~2cn.jpeg~108~3.61~3~cn~3cn.jpeg~124~2.1025~4~cn~4fl.jpeg~121~6.708099999999999~5~cn~5fl.jpeg~68~7.5625~6~cn~6fl.jpeg~136~13.9129~7~cn~7fl.jpeg~79~18.7489~8~cn~8fl.jpeg~93~20.6116~,,9,cn
9/14/2023 12:05,9/14/2023 12:23,0,100,1086,18.1,9/14/2023 12:23,R_1gUfyq3ZK2xO66c,anonymous,EN,1,1,1,1,1,1,2,,,5d7aaf421b337b000174fcb7,Chrome,116.0.0.0,Windows NT 10.0,1536x864,'-2~fl~-2fl.jpeg~79~1.2100000000000002~-1~fl~-1fl.jpeg~79~13.3225~0~fl~0fl.jpeg~111~2.6244000000000005~1~fl~1fl.jpeg~73~5.569599999999999~2~fl~2fl.jpeg~106~5.107599999999999~3~fl~3fl.jpeg~98~7.0225~4~fl~4cn.jpeg~112~4.5796~5~fl~5cn.jpeg~93~5.6644~6~fl~6cn.jpeg~128~7.896100000000001~7~fl~7cn.jpeg~109~18.0625~8~fl~8cn.jpeg~93~11.833599999999999~,,9,fl
9/14/2023 12:05,9/14/2023 12:23,0,100,1100,18.33333333,9/14/2023 12:23,R_2YDtep1T6hYm5b9,anonymous,EN,0.899999976,1,1,1,1,1,1,,,5fd7bf29d75bb9071b688450,Chrome,112.0.0.0,Macintosh,2048x1152,'-2~cl~-2cl.jpeg~78~1.9880999999999998~-1~cl~-1cl.jpeg~77~17.472399999999997~0~cl~0cl.jpeg~106~8.0089~1~cl~1cl.jpeg~94~2.25~2~cl~2cl.jpeg~107~2.3409~3~cl~3cl.jpeg~103~3.0976~4~cl~4fn.jpeg~105~4.6656~5~cl~5fn.jpeg~95~5.1983999999999995~6~cl~6fn.jpeg~115~5.8564~7~cl~7fn.jpeg~105~10.8241~8~cl~8fn.jpeg~101~16.5649~,,9,cl
9/14/2023 12:05,9/14/2023 12:27,0,100,1296,21.6,9/14/2023 12:27,R_Y4BmdNS2c5hWCSR,anonymous,EN,1,1,1,1,1,1,1,,,55b75944fdf99b6e0c49981b,Chrome,117.0.0.0,Windows NT 10.0,1366x768,'-2~cl~-2cl.jpeg~78~1.9320999999999997~-1~cl~-1cl.jpeg~79~17.64~0~cl~0cl.jpeg~100~8.3521~1~cl~1cl.jpeg~84~2.1609~2~cl~2cl.jpeg~103~3.5721~3~cl~3cl.jpeg~99~5.9049000000000005~4~cl~4fn.jpeg~104~5.522500000000001~5~cl~5fn.jpeg~94~4.9729~6~cl~6fn.jpeg~110~4.752400000000001~7~cl~7fn.jpeg~108~6.604899999999999~8~cl~8fn.jpeg~93~25~,,9,cl
9/14/2023 12:07,9/14/2023 12:32,0,100,1523,25.38333333,9/14/2023 12:32,R_1CHnO6WgERsYvDu,anonymous,EN,1,1,1,1,1,2,1,No,Sales predictions,64a94f3c6ecf9b49969c1b20,Chrome,116.0.0.0,Windows NT 10.0,1280x720,'-2~cl~-2cl.jpeg~78~2.1609~-1~cl~-1cl.jpeg~79~17.472399999999997~0~cl~0cl.jpeg~100~8.0089~1~cl~1cl.jpeg~85~3.0625~2~cl~2cl.jpeg~103~7.398400000000001~3~cl~3cl.jpeg~100~10.3041~4~cl~4fn.jpeg~106~6.864400000000001~5~cl~5fn.jpeg~91~9.985600000000002~6~cl~6fn.jpeg~111~9.672099999999999~7~cl~7fn.jpeg~109~10.112400000000001~8~cl~8fn.jpeg~94~25~,,9,cl
9/14/2023 12:04,9/14/2023 12:05,0,21,35,0.583333333,9/14/2023 13:05,R_2SH6IQ4cfQWiwpA,anonymous,EN,1,,,,,,,,,,,,,,,,-2,fn
